"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
102566595007462_220037659927021,https://www.facebook.com/permalink.php?story_fbid=220037659927021&amp;id=102566595007462,"Cada vez somos más personas e instituciones que se unen en este Paro Internacional de Museos 13M. Únete y ayúdanos a incidir... 
#MuseosEnParo
#MuseumsAreNotNeutral 
#SOSColombia",Video,,,"05/12/2021 09:23:41 AM"," ",621,621,0,650,650,0,49,11,14,1,1,175,166,0,0,20,38,40,0,0,177,205,0,0,6620,29559,16,29,,16,32,,3,9,,,3,11,,,1,,1,
102566595007462_220028356594618,https://www.facebook.com/permalink.php?story_fbid=220028356594618&amp;id=102566595007462,"Acceda a todos los recursos para planear sus acciones durante el Paro internacional de Museos el próximo 13 de mayo.

Informaciones y recursos gráficos aquí: https://drive.google.com/drive/u/0/folders/1-JRBRS7PTJtitKGwkf9vhhzlE7R2QlUj

Vea el video https://www.youtube.com/watch?v=wbsRnXtX9ws

#MuseumsAreNotNeutral
#SOSColombia
#MuseosEnParo",Photo,,,"05/12/2021 09:05:23 AM"," ",1737,1737,0,1808,1808,0,94,28,38,0,0,307,300,0,0,36,0,0,0,0,0,0,0,0,0,0,28,62,,29,67,,,6,11,13,,9,11,18,,,,
102566595007462_220008699929917,https://www.facebook.com/permalink.php?story_fbid=220008699929917&amp;id=102566595007462,"Cada vez somos más personas e instituciones que se unen en este Paro Internacional de Museos 13M. Únete y ayúdanos a incidir... #MuseosEnParo #MuseumsAreNotNeutral #SOSColombia",Link,,,"05/12/2021 08:30:59 AM"," ",110,110,0,115,115,0,8,3,3,0,0,78,73,0,0,8,0,0,0,0,0,0,0,0,0,0,1,5,,1,5,,,,,3,,,,3,,,,
102566595007462_219977923266328,https://www.facebook.com/permalink.php?story_fbid=219977923266328&amp;id=102566595007462,"LOS MUSEOS DEL MUNDO PARAMOS EN APOYO A COLOMBIA",Link,,,"05/12/2021 07:43:31 AM"," ",157,157,0,159,159,0,20,8,10,0,0,122,120,0,0,15,0,0,0,0,0,0,0,0,0,0,2,14,,2,15,,,3,,6,,4,,6,,,,
102566595007462_219684066629047,https://www.facebook.com/permalink.php?story_fbid=219684066629047&amp;id=102566595007462,,Photo,,,"05/11/2021 08:18:28 PM"," ",7244,7260,0,7244,7244,0,336,112,158,0,0,549,525,0,0,101,0,0,0,0,0,0,0,0,0,0,29,251,5,73,271,7,,77,52,,,102,56,,,,,
102566595007462_219681549962632,https://www.facebook.com/permalink.php?story_fbid=219681549962632&amp;id=102566595007462,"Enviado por el Museo Comunitario de San Jacinto (al fondo), en el Departamento de Bolívar.",Photo,,,"05/11/2021 08:12:13 PM"," ",449,449,0,472,472,0,50,4,4,0,0,304,287,0,0,44,0,0,0,0,0,0,0,0,0,0,7,44,,7,46,,,2,2,,,2,2,,,,,
102566595007462_219680979962689,https://www.facebook.com/permalink.php?story_fbid=219680979962689&amp;id=102566595007462,,Photo,,,"05/11/2021 08:10:46 PM"," ",181,181,0,186,186,0,18,2,2,0,0,138,133,0,0,17,0,0,0,0,0,0,0,0,0,0,,17,,,17,,,,2,,,,2,,,,,
102566595007462_219492329981554,https://www.facebook.com/permalink.php?story_fbid=219492329981554&amp;id=102566595007462,"A partir del 13 de mayo invitamos a todas las personas e instituciones del ámbito museológico a unirse en un paro de museos del mundo en apoyo a Colombia. 

Entérese de como participar aquí: http://bit.ly/MuseosporColombia

#MuseumsAreNotNeutral
#soscolombia
#MuseosEnParo",Photo,,,"05/11/2021 11:39:06 AM"," ",88648,88648,0,91308,91308,0,4469,1242,1577,3,3,670,593,0,0,313,0,0,0,0,0,0,0,0,0,0,627,3434,51,971,4171,59,,674,409,263,,876,416,285,2,1,2,1
102566595007462_217731380157649,https://www.facebook.com/permalink.php?story_fbid=217731380157649&amp;id=102566595007462,"Conversaciones Extendidas. Memorias para la vida: ¿Patrimonios en disputa?",Link,,,"05/08/2021 05:05:07 PM"," ",246,246,0,261,261,0,13,8,8,0,0,155,142,0,0,9,0,0,0,0,0,0,0,0,0,0,1,4,,1,4,,,,,8,,,,8,,,,
102566595007462_217674543496666,https://www.facebook.com/permalink.php?story_fbid=217674543496666&amp;id=102566595007462,"Los museos seguimos escuchando al país.

HOY SÁBADO A LAS 7:00 PM en nuestro canal de YouTube vamos a encontrarnos para continuar con el ejercicio de escucha atenta y reflexiva sobre las acciones colectivas de protesta simbólica y su impacto desde diversas miradas, historias y territorios. 

Asista aquí: https://youtu.be/-Ac6ecvNn00

Modera: Italia Samudio (Museo Itinerante de la Memoria y la Identidad de los Montes de María - El Mochuelo). 

Panelistas:
Taita Didier Chirimuscay (vocero de la comunidad Misak)
Taita Miguel Morales (gobernador del Cabildo Misak de Bogotá)
Sara del Mar Castiblanco (Facultad de Estudios del Patrimonio de la Universidad Externado de Colombia)
Mónica Álvarez (Red de Lugares de Memoria)",Photo,,,"05/08/2021 02:38:44 PM"," ",9861,9861,0,10350,10350,0,180,103,123,1,1,321,278,0,0,46,0,0,0,0,0,0,0,0,0,0,13,86,4,109,119,52,,54,18,40,,59,19,45,1,,1,
102566595007462_217126623551458,https://www.facebook.com/permalink.php?story_fbid=217126623551458&amp;id=102566595007462,"En esté momento",Link,,,"05/07/2021 05:17:37 PM"," ",188,188,0,200,200,0,13,6,6,0,0,127,116,0,0,9,0,0,0,0,0,0,0,0,0,0,,6,1,,6,1,,,,6,,,,6,,,,
102566595007462_217047910225996,https://www.facebook.com/permalink.php?story_fbid=217047910225996&amp;id=102566595007462,"Los museos estamos escuchando a Colombia. 

HOY A LAS 7:00 PM en nuestro canal de YouTube vamos a encontrar para conversar y reflexionar sobre las acciones colectivas de protesta simbólica desde diversas miradas, historias y territorios. 

Asista aquí: https://youtu.be/qzh6kmShnhY

Modera: Willliam Lopez (Maestría en Museología y Gestión del Patrimonio UNAL) 

Participan:
Yeismith Armenta Amaya (coordinador de memoria histórica del pueblo Wiwa)
Margarita Guzman (directora Museo de la Universidad del Rosario
Edmon Castell (Facultad de Artes Universidad Nacional de Colombia - Sede Bogotá)
Liliana Angulo (Artista)",Photo,,,"05/07/2021 01:35:12 PM"," ",17341,17341,0,17697,17697,0,473,234,297,5,6,387,312,0,0,79,0,0,0,0,0,0,0,0,0,0,33,269,8,175,322,18,,115,59,90,,143,60,94,6,,5,
